Feature,Importance
Loan_Balance,0.11125526118422441
Credit_Score,0.10821173188475391
Age,0.09927465066401024
Income,0.09772857711179528
Account_Tenure,0.09337704308026193
Missed_Payments,0.06185475308437863
Month_6_On-time,0.023912835153077096
Month_5_Missed,0.0205740986663359
Month_4_Missed,0.020396671813316742
Month_1_On-time,0.020370868276532988
Location_Los Angeles,0.0201550622153744
Month_5_On-time,0.02007762457992495
Month_2_Missed,0.019805885186998065
Month_2_On-time,0.019731578041056047
Location_Houston,0.019723607677280396
Credit_Card_Type_Gold,0.019351528116049455
Month_3_On-time,0.019291590010818916
Month_1_Missed,0.017876802804830443
Month_3_Missed,0.017614004471800067
Credit_Card_Type_Student,0.01738115973058289
Employment_Status_Employed,0.017148227113032877
Month_4_On-time,0.01695991446720753
Month_6_Missed,0.01579875433126638
Location_Phoenix,0.015660740834767133
Employment_Status_Unemployed,0.015010374987166515
Employment_Status_retired,0.01296465802672707
Employment_Status_Self-employed,0.012604178694206002
Location_New York,0.012394553602381762
Credit_Card_Type_Standard,0.011923637019897088
Credit_Card_Type_Platinum,0.011461955013594177
Employment_Status_employed,0.009677601414552527
Credit_Utilization,0.0004300707417982618
Debt_to_Income_Ratio,0.0
